story_id,story,generated_gherkin,record_status,syntax_pass,syntax_detail,run_mode,timestamp_utc,elapsed_ms,requested_model,error
, I want to track my child’s attendance so that I can monitor school progress,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:02.801542+00:00,1227.56,google/flan-t5-base,
, I want to book hotels online so that I can secure accommodation,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:04.035244+00:00,1473.5,google/flan-t5-base,
, I want to check polling locations so that I know where to vote,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:05.513403+00:00,1374.11,google/flan-t5-base,
, I want to register for courses so that I can attend classes,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:06.893494+00:00,1502.79,google/flan-t5-base,
, I want to reset my password so that I can regain access,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:08.401469+00:00,1521.38,google/flan-t5-base,
, I want to download datasets so that I can analyze them,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:09.926955+00:00,1740.51,google/flan-t5-base,
, I want to view lab results online so that I can track my health,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:39:11.671551+00:00,12037.74,google/flan-t5-base,empty_response
, I want to renew my license online so that I can avoid visiting the office,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:39:23.718785+00:00,18112.39,google/flan-t5-base,empty_response
, I want to submit homework online so that my teacher can grade it,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:39:41.837792+00:00,7723.68,google/flan-t5-base,empty_response
, I want to track my order so that I know when it arrives,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:39:49.567881+00:00,7403.85,google/flan-t5-base,empty_response
, I want to catalog new books so that readers can find them easily,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:39:56.978808+00:00,9998.73,google/flan-t5-base,empty_response
, I want to share recipes online so that others can cook them,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:06.986841+00:00,1702.85,google/flan-t5-base,
, I want to join online classes so that I can learn remotely,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:08.695046+00:00,1396.46,google/flan-t5-base,
, I want to receive notifications so that I stay updated,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:10.098295+00:00,1404.42,google/flan-t5-base,
, I want to update patient records so that information is current,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:11.509506+00:00,1435.99,google/flan-t5-base,
, I want to grade assignments online so that students get feedback,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:12.950838+00:00,1410.66,google/flan-t5-base,
, I want to change my profile picture so that my account looks updated,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:14.367047+00:00,1380.01,google/flan-t5-base,
, I want to pay bills online so that I save time,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:15.753812+00:00,1373.24,google/flan-t5-base,
, I want to download lecture notes so that I can study offline,аа аа,VALID,False,"parser_error:Parser errors:
(1:1): expected: #EOF, #Language, #TagLine, #FeatureLine, #Comment, #Empty, got 'аа аа'",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:17.133796+00:00,422.37,google/flan-t5-base,
, I want to delete my account so that my data is removed,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:17.561246+00:00,1348.98,google/flan-t5-base,
, I want to view maps so that I can navigate easily,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:18.916647+00:00,1383.0,google/flan-t5-base,
, I want to join study groups so that I can collaborate,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:20.306511+00:00,1403.29,google/flan-t5-base,
, I want to set reminders so that I don’t forget tasks,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:21.714946+00:00,1423.03,google/flan-t5-base,
, I want to track bugs so that I can fix them,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:23.143606+00:00,1409.7,google/flan-t5-base,
, I want to upload projects so that teachers can review them,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:40:24.560252+00:00,7657.64,google/flan-t5-base,empty_response
, I want to search for friends so that I can connect,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:32.224527+00:00,1449.69,google/flan-t5-base,
, I want to request prescriptions online so that I save time,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:33.680569+00:00,1286.21,google/flan-t5-base,
, I want to take quizzes online so that I can test my knowledge,Gherkin cho user story sau: I want to take quizzes online so that I can test my knowledge,VALID,False,"parser_error:Parser errors:
(1:1): expected: #EOF, #Language, #TagLine, #FeatureLine, #Comment, #Empty, got 'Gherkin cho user story sau: I want to take quizzes online so that I can test my knowledge'",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:34.972233+00:00,968.83,google/flan-t5-base,
, I want to update my email so that I receive notifications,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:40:35.948128+00:00,7804.28,google/flan-t5-base,empty_response
, I want to review products so that others can see feedback,Gherkin cho user story sau: I want to review products so that others can see feedback,VALID,False,"parser_error:Parser errors:
(1:1): expected: #EOF, #Language, #TagLine, #FeatureLine, #Comment, #Empty, got 'Gherkin cho user story sau: I want to review products so that others can see feedback'",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:43.758836+00:00,967.49,google/flan-t5-base,
, I want to check exam schedules so that I can prepare,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:44.733215+00:00,1818.51,google/flan-t5-base,
, I want to enable dark mode so that I reduce eye strain,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:46.558585+00:00,1636.67,google/flan-t5-base,
, I want to share papers so that others can read them,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:48.203772+00:00,1741.85,google/flan-t5-base,
, I want to check traffic updates so that I can avoid delays,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:49.955993+00:00,1712.5,google/flan-t5-base,
, I want to access library resources so that I can study,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:40:51.675261+00:00,1566.01,google/flan-t5-base,
